epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,21379.8,0.97128,0.55744,1.01753,0.91528,0.88639,0.92096,0.7601,0.7091,0.44157,0.94474,0.008713,0.008713,0.008713
15,22884.5,0.96749,0.55415,1.01492,0.90971,0.88975,0.92087,0.76131,0.70594,0.44629,0.94629,0.008614,0.008614,0.008614
16,24387.4,0.96114,0.54896,1.01448,0.9118,0.89003,0.92107,0.76187,0.70562,0.44549,0.95047,0.008515,0.008515,0.008515
17,25892.4,0.95561,0.54449,1.00885,0.91351,0.88864,0.92189,0.76377,0.703,0.44395,0.95137,0.008416,0.008416,0.008416
18,27402.8,0.95222,0.54073,1.00892,0.91325,0.89034,0.92311,0.76594,0.69982,0.43966,0.94745,0.008317,0.008317,0.008317
19,28911.1,0.94728,0.53731,1.00583,0.91502,0.89022,0.92354,0.76737,0.69667,0.43975,0.9452,0.008218,0.008218,0.008218
20,30420.9,0.94112,0.53433,1.00676,0.91557,0.88999,0.92395,0.76874,0.69473,0.43958,0.94629,0.008119,0.008119,0.008119
21,31922.5,0.93569,0.52906,1.00226,0.91559,0.89118,0.92405,0.76905,0.69372,0.43772,0.9474,0.00802,0.00802,0.00802
22,33424.5,0.9326,0.52866,1.00344,0.91742,0.89036,0.92456,0.76971,0.69271,0.4362,0.94812,0.007921,0.007921,0.007921
23,34926.9,0.92738,0.52255,0.99857,0.91643,0.89136,0.92482,0.77044,0.69249,0.43556,0.94953,0.007822,0.007822,0.007822
24,36428.2,0.92515,0.52163,0.99868,0.91546,0.89204,0.92499,0.77087,0.69154,0.43498,0.949,0.007723,0.007723,0.007723
25,37930.1,0.92426,0.52054,0.99849,0.91598,0.89102,0.92496,0.77137,0.69005,0.43541,0.94785,0.007624,0.007624,0.007624
26,39433.3,0.9212,0.51837,0.99854,0.91693,0.88962,0.92477,0.77153,0.6892,0.43551,0.94778,0.007525,0.007525,0.007525
27,40935.5,0.9164,0.51411,0.99518,0.91693,0.88956,0.92486,0.77204,0.68878,0.43566,0.94835,0.007426,0.007426,0.007426
28,42467.1,0.91395,0.51373,0.99661,0.9161,0.89039,0.92492,0.77222,0.6886,0.43613,0.94887,0.007327,0.007327,0.007327
29,43978.4,0.90749,0.51027,0.99336,0.91548,0.89096,0.92486,0.77236,0.68766,0.43631,0.94857,0.007228,0.007228,0.007228
30,45485.7,0.90734,0.50836,0.98949,0.91472,0.89126,0.92478,0.77255,0.68714,0.43707,0.94797,0.007129,0.007129,0.007129
31,46995.7,0.90305,0.50622,0.98715,0.91435,0.89133,0.9247,0.77261,0.68614,0.43787,0.94647,0.00703,0.00703,0.00703
32,48532.8,0.90281,0.50635,0.98826,0.91462,0.89181,0.92477,0.77286,0.68479,0.43735,0.94568,0.006931,0.006931,0.006931
33,50048.5,0.8992,0.50282,0.98699,0.91506,0.89202,0.92484,0.77368,0.68314,0.43661,0.94418,0.006832,0.006832,0.006832
34,51792.3,0.89445,0.49919,0.98442,0.91536,0.89218,0.92503,0.77418,0.6823,0.43593,0.94372,0.006733,0.006733,0.006733
35,55124.7,0.89291,0.49869,0.98465,0.91457,0.89295,0.92508,0.77461,0.68134,0.43431,0.94315,0.006634,0.006634,0.006634
36,58250.9,0.89144,0.49811,0.98464,0.91545,0.89231,0.92518,0.77516,0.67983,0.43258,0.9423,0.006535,0.006535,0.006535
37,59759.9,0.88967,0.49594,0.98187,0.91604,0.892,0.92514,0.77548,0.67891,0.4323,0.94167,0.006436,0.006436,0.006436
38,61269.7,0.88796,0.49544,0.98258,0.91657,0.89204,0.92539,0.7759,0.67833,0.43168,0.94113,0.006337,0.006337,0.006337
39,62776.8,0.88432,0.49273,0.97945,0.91697,0.89236,0.92573,0.77654,0.67685,0.43089,0.93977,0.006238,0.006238,0.006238
40,64321.8,0.88288,0.4907,0.98335,0.91709,0.89269,0.92587,0.77677,0.67671,0.43005,0.93983,0.006139,0.006139,0.006139
41,1557.89,0.87987,0.48612,0.98079,0.91734,0.8928,0.92604,0.77718,0.67589,0.42842,0.93996,0.00604,0.00604,0.00604
42,3058.74,0.8866,0.49117,0.98133,0.9181,0.89237,0.92613,0.77759,0.67515,0.42709,0.94017,0.005941,0.005941,0.005941
43,4625.2,0.88655,0.49205,0.98448,0.91856,0.89232,0.92615,0.77782,0.67421,0.42615,0.94084,0.005842,0.005842,0.005842
44,6194.53,0.88202,0.48972,0.98242,0.91843,0.8931,0.92637,0.77818,0.6733,0.42565,0.94109,0.005743,0.005743,0.005743
45,7808.62,0.87747,0.48642,0.97935,0.91921,0.89267,0.92647,0.77843,0.67262,0.42569,0.9407,0.005644,0.005644,0.005644
46,9389.58,0.87976,0.48623,0.98077,0.91859,0.89314,0.92662,0.77871,0.67199,0.42524,0.94046,0.005545,0.005545,0.005545
47,10968.5,0.87313,0.48414,0.97623,0.91829,0.89338,0.92674,0.77898,0.6707,0.4241,0.93942,0.005446,0.005446,0.005446
48,12550.6,0.87304,0.48237,0.97616,0.91799,0.89365,0.92694,0.77936,0.66988,0.42394,0.9391,0.005347,0.005347,0.005347
49,14129.6,0.8726,0.48208,0.97602,0.91902,0.89344,0.927,0.77974,0.66896,0.42309,0.93849,0.005248,0.005248,0.005248
50,15706.7,0.869,0.47919,0.97517,0.9194,0.89349,0.92684,0.78005,0.6678,0.42199,0.93747,0.005149,0.005149,0.005149
51,17280.2,0.86655,0.479,0.97381,0.91939,0.89368,0.92669,0.78029,0.66672,0.42098,0.93652,0.00505,0.00505,0.00505
52,18878.2,0.86589,0.47708,0.97094,0.91969,0.89358,0.92661,0.78062,0.66516,0.4198,0.93498,0.004951,0.004951,0.004951
53,20638.9,0.85946,0.47489,0.9718,0.9202,0.89355,0.92678,0.78106,0.66369,0.41873,0.93336,0.004852,0.004852,0.004852
54,22224.9,0.85721,0.47146,0.97305,0.92022,0.89447,0.92686,0.78115,0.66263,0.41771,0.93238,0.004753,0.004753,0.004753
55,23797,0.85705,0.47097,0.96959,0.92106,0.89379,0.92671,0.78138,0.66202,0.41732,0.93211,0.004654,0.004654,0.004654
56,25547.1,0.85575,0.47013,0.9712,0.92169,0.89383,0.92683,0.78187,0.66096,0.41633,0.93129,0.004555,0.004555,0.004555
57,27650.7,0.85389,0.46813,0.96897,0.92236,0.89366,0.92685,0.78225,0.65952,0.41565,0.93036,0.004456,0.004456,0.004456
58,29226.8,0.85205,0.4663,0.9674,0.92228,0.89395,0.9268,0.78263,0.65831,0.41499,0.92905,0.004357,0.004357,0.004357
59,30805.5,0.85022,0.46581,0.96634,0.92187,0.89431,0.9269,0.78306,0.65697,0.41414,0.92776,0.004258,0.004258,0.004258
60,32373.6,0.84714,0.46401,0.96681,0.92138,0.89494,0.92692,0.78331,0.65605,0.4136,0.92712,0.004159,0.004159,0.004159
61,33965.3,0.84413,0.46156,0.96686,0.92142,0.8954,0.927,0.78374,0.6554,0.41251,0.92724,0.00406,0.00406,0.00406
62,35542.6,0.84191,0.46072,0.9639,0.92166,0.8952,0.92724,0.78402,0.65463,0.41152,0.92694,0.003961,0.003961,0.003961
63,37116.6,0.83743,0.45661,0.96075,0.92206,0.89509,0.92716,0.78421,0.65347,0.41031,0.92648,0.003862,0.003862,0.003862
64,1937.19,0.82192,0.44406,0.95491,0.92182,0.89545,0.92727,0.78445,0.65305,0.40982,0.92651,0.003763,0.003763,0.003763
65,3503.47,0.82976,0.449,0.96005,0.92184,0.8941,0.9258,0.7838,0.65206,0.40944,0.92593,0.003664,0.003664,0.003664
66,5070.07,0.83025,0.44972,0.96236,0.92117,0.89654,0.9274,0.78508,0.65142,0.4093,0.9262,0.003565,0.003565,0.003565
67,6591.74,0.82665,0.44869,0.95875,0.92078,0.89779,0.92753,0.78525,0.65076,0.40903,0.92634,0.003466,0.003466,0.003466
68,8163.35,0.82388,0.4465,0.95823,0.92008,0.89829,0.92753,0.78539,0.65041,0.40902,0.92649,0.003367,0.003367,0.003367
69,9744.19,0.82602,0.44598,0.95474,0.91961,0.89824,0.92754,0.78568,0.64941,0.40904,0.92535,0.003268,0.003268,0.003268
70,11314.6,0.8208,0.4441,0.95436,0.91967,0.89867,0.92757,0.78602,0.64841,0.40848,0.92474,0.003169,0.003169,0.003169
71,12895.1,0.82074,0.44262,0.95253,0.92066,0.89763,0.92753,0.78626,0.64719,0.4085,0.92373,0.00307,0.00307,0.00307
72,14464.1,0.82073,0.44269,0.95386,0.92035,0.89836,0.92771,0.78663,0.64718,0.40802,0.92401,0.002971,0.002971,0.002971
73,16031.9,0.81673,0.44009,0.95107,0.92008,0.89933,0.92784,0.78681,0.64678,0.40766,0.92364,0.002872,0.002872,0.002872
74,17605.1,0.81474,0.44039,0.95317,0.92061,0.8993,0.928,0.78719,0.64565,0.4067,0.92299,0.002773,0.002773,0.002773
75,19171.8,0.81494,0.43875,0.95369,0.91997,0.90019,0.92811,0.78747,0.6445,0.4059,0.92243,0.002674,0.002674,0.002674
76,20732.8,0.80863,0.43657,0.95365,0.92072,0.89982,0.92831,0.78793,0.6431,0.40464,0.92129,0.002575,0.002575,0.002575
77,22292.9,0.80669,0.43298,0.9477,0.92158,0.89931,0.92831,0.78839,0.64187,0.40399,0.92035,0.002476,0.002476,0.002476
78,23860.4,0.80642,0.43317,0.95089,0.92128,0.89897,0.92833,0.78865,0.64079,0.40396,0.91956,0.002377,0.002377,0.002377
79,25559.2,0.80497,0.43174,0.9497,0.92198,0.8984,0.92831,0.78896,0.63983,0.40332,0.91872,0.002278,0.002278,0.002278
80,27127.9,0.80337,0.43007,0.9472,0.92173,0.89897,0.9285,0.78927,0.6393,0.40281,0.91816,0.002179,0.002179,0.002179
81,28696.1,0.80195,0.42837,0.94913,0.9212,0.89949,0.92857,0.78954,0.63904,0.40233,0.91806,0.00208,0.00208,0.00208
82,30265.8,0.80029,0.42731,0.94813,0.92183,0.89877,0.92852,0.78972,0.63864,0.40203,0.91805,0.001981,0.001981,0.001981
83,31831.2,0.79724,0.4261,0.9484,0.92167,0.8991,0.92861,0.78989,0.63836,0.40168,0.91792,0.001882,0.001882,0.001882
84,33411.6,0.79378,0.42371,0.9447,0.92224,0.89903,0.9288,0.79018,0.63769,0.40053,0.91734,0.001783,0.001783,0.001783
85,34983.3,0.79214,0.42273,0.94231,0.92209,0.89981,0.92894,0.79055,0.63703,0.3995,0.91686,0.001684,0.001684,0.001684
86,36550.6,0.78761,0.41831,0.93953,0.92228,0.89977,0.92904,0.7909,0.63632,0.39862,0.91669,0.001585,0.001585,0.001585
87,38125.1,0.78847,0.41857,0.94104,0.92279,0.89974,0.92913,0.79124,0.63534,0.39774,0.91595,0.001486,0.001486,0.001486
88,39697.9,0.7874,0.41809,0.94082,0.92284,0.89987,0.9291,0.79132,0.63502,0.39748,0.91593,0.001387,0.001387,0.001387
89,41272.5,0.78409,0.41532,0.93932,0.92395,0.89919,0.92918,0.79151,0.63453,0.39704,0.9156,0.001288,0.001288,0.001288
90,42829,0.77864,0.41141,0.9387,0.92422,0.89949,0.92927,0.79173,0.63402,0.39659,0.91583,0.001189,0.001189,0.001189
91,44369.3,0.67733,0.32606,0.9123,0.92432,0.9,0.92945,0.79208,0.63326,0.39515,0.91608,0.00109,0.00109,0.00109
92,45929.2,0.67004,0.32215,0.90579,0.92368,0.90092,0.92974,0.79268,0.63211,0.39363,0.91626,0.000991,0.000991,0.000991
93,47481.8,0.66389,0.3192,0.90629,0.92361,0.90146,0.92997,0.79345,0.63127,0.39229,0.91712,0.000892,0.000892,0.000892
94,49044.8,0.65672,0.31512,0.90198,0.9242,0.90188,0.93027,0.79403,0.63044,0.39093,0.91759,0.000793,0.000793,0.000793
95,50601.1,0.65264,0.31103,0.90091,0.92491,0.90191,0.93052,0.79461,0.62936,0.38956,0.9178,0.000694,0.000694,0.000694
96,52157.5,0.64653,0.3077,0.9018,0.92479,0.90232,0.93058,0.79499,0.6284,0.38845,0.91805,0.000595,0.000595,0.000595
97,53717.4,0.64303,0.30539,0.90138,0.9248,0.90249,0.93085,0.79575,0.62719,0.38738,0.91841,0.000496,0.000496,0.000496
98,55270,0.63853,0.30164,0.89814,0.92473,0.90324,0.93108,0.79619,0.62609,0.38621,0.91827,0.000397,0.000397,0.000397
99,56822.8,0.63427,0.29913,0.8951,0.92454,0.90352,0.93124,0.79663,0.62491,0.3851,0.91845,0.000298,0.000298,0.000298
100,58374.7,0.63127,0.29703,0.89595,0.92445,0.90385,0.93136,0.79695,0.62439,0.38399,0.91944,0.000199,0.000199,0.000199
